head_idx,ngram,hash_head,row,absolute_row,count,avg_gate,avg_output_norm,example_ngram_text
3,2,3,66126,15006439,2821,0.92981642,32867.50781250,.\n
2,2,2,66182,10026382,2821,0.92766547,32357.22851562,.\n
5,2,5,65958,24966559,2821,0.92617071,32015.91210938,.\n
1,2,1,66222,5046319,2821,0.92079788,31246.54492188,.\n
0,2,0,66246,66246,2821,0.90666282,29758.65625000,.\n
7,3,1,2613474,37474423,595,0.89825714,25878.59765625,’s
7,3,1,2496438,37357387,595,0.90315288,25006.28125000,’s
1,2,1,179741,5159838,595,0.88520283,24982.94726562,�s
11,3,5,2496438,57278169,595,0.90272516,24426.21289062,’s
10,3,4,2496438,52297958,595,0.90103757,23992.34960938,’s
8,3,2,2496438,42337574,595,0.91422099,23925.04687500,’s
5,2,5,3402496,28303097,595,0.87594157,23500.05859375,�s
3,2,3,3402496,18342809,595,0.86473197,22882.73437500,�s
4,2,4,4430946,24351386,432,0.88832593,22697.98437500,\n-
4,2,4,3402496,23322936,595,0.87611711,22469.13085938,�s
9,3,3,2613450,47434777,595,0.79556942,21513.79101562,’s
6,3,0,2496438,32377208,595,0.84671903,21031.27148438,’s
0,2,0,3402496,3402496,595,0.79833412,20374.21875000,�s
1,2,1,527666,5507763,2821,0.71719825,20253.71484375,.\n
2,2,2,4825891,14786091,825,0.82580745,19936.60156250,  and
1,2,1,4431120,9411217,432,0.81484610,19419.26757812,\n-
8,3,2,2613458,42454594,595,0.78019947,19102.58398438,’s
10,3,4,2613378,52414898,595,0.73609722,18864.41601562,’s
3,2,3,179621,15119934,595,0.73216760,18585.62109375,�s
0,2,0,4431138,4431138,432,0.79108894,18139.57617188,\n-
3,2,3,4825821,19766134,825,0.74188691,17558.50000000,  and
4,2,4,4825651,24746091,825,0.74596334,17557.81054688,  and
11,3,5,2613338,57395069,595,0.72148132,17460.72851562,’s
6,3,0,2613506,32494276,595,0.71825939,17403.26757812,’s
9,3,3,2495353,47316680,170,0.91726983,17149.29882812,’T
2,2,2,4431090,14391290,432,0.71475106,16791.32812500,\n-
0,2,0,1133903,1133903,242,0.86541981,16501.34960938,. I
2,2,2,1133903,11094103,242,0.88882273,16271.87500000,. I
3,2,3,2791341,17731654,647,0.91191053,16255.43261719,  the
5,2,5,1133903,26034504,242,0.88801003,16212.82128906,. I
1,2,1,1133903,6114000,242,0.84378207,16175.74707031,. I
5,2,5,2722801,27623402,535,0.84071261,16092.08789062,. The
2,2,2,2723081,12683281,535,0.84556115,15957.57226562,. The
4,2,4,4107070,24027510,535,0.83107853,15801.40722656,. The
1,2,1,2791461,7771558,647,0.90406525,15688.24218750,  the
11,3,5,2675018,57456749,357,0.89773840,15623.24609375,.\nThe
4,2,4,2791171,22711611,647,0.90030026,15580.60546875,  the
2,2,2,4186354,14146554,214,0.91626048,15431.31542969,. It
2,2,2,2791411,12751611,647,0.89340514,15377.92089844,  the
1,2,1,4186354,9166451,216,0.90772396,15322.39257812,ock Park
0,2,0,2791491,2791491,647,0.89393908,15259.18750000,  the
3,2,3,3919384,18859697,206,0.92303312,15143.97851562,.<|endoftext|>
3,2,3,4107070,19047383,535,0.78209412,15137.80468750,. The
3,2,3,2723011,17663324,535,0.79892123,15096.20605469,. The
3,2,3,4186354,19126667,214,0.89471263,15062.25097656,. It
1,2,1,2723131,7703228,535,0.78883624,15012.14843750,. The
0,2,0,4186354,4186354,214,0.88479567,14949.01074219,. It
2,2,2,2708674,12668874,565,0.89896739,14936.50292969,\nThe
4,2,4,3916800,23837240,206,0.91730154,14911.93457031,.<|endoftext|>
5,2,5,2708338,27608939,564,0.90024453,14706.29199219,\nThe
8,3,2,2675108,42516244,357,0.91379184,14531.70410156,.\nThe
5,2,5,3916192,28816793,206,0.89479035,14508.58300781,.<|endoftext|>
9,3,3,2675102,47496429,357,0.91989267,14449.14843750,.\nThe
1,2,1,2708734,7688831,564,0.89076161,14386.56738281,\nThe
0,2,0,3921664,3921664,206,0.91610235,14371.67578125,.<|endoftext|>
4,2,4,849854,20770294,318,0.88489664,14334.09472656, and the
1,2,1,2708259,7688356,564,0.78613317,14333.44824219,\nThe
0,2,0,2708277,2708277,564,0.76941210,14264.94042969,\nThe
